Радио Рекорд	https://radio-srv1.11one.ru:443/record192k.mp3	0
Relax FM	https://pub0301.101.ru:8443/stream/air/mp3/256/200	0
Русский Хит	https://rusradio.hostingradio.ru/rusradio128.mp3	0
Новое Радио	https://emgregion.hostingradio.ru:8064/voronezh.novoe.mp3	0
Европа Плюс	https://ep256.hostingradio.ru:8052/europaplus256.mp3	0
НАШЕ Радио	https://nashe1.hostingradio.ru:443/nashe-256	0
Радио 7 на семи холмах	https://emgregion.hostingradio.ru:8064/voronezh.radio7.mp3	0
Дорожное радио	https://dorognoe.hostingradio.ru:443/radio	0
Шансон	https://chanson.hostingradio.ru:8041/chanson256.mp3	0
Авторадио	https://pub0301.101.ru:8443/stream/air/mp3/256/100	0
Love Radio	http://c2.auracast.net:8097/stream?type=.aac	0
DFM	http://live.borneo.ru:8888/dfm128	0
Русское радио	http://live.borneo.ru:8888/rus128	0
Ретро FM	https://retro.hostingradio.ru:8043/retro256.mp3	0
Маяк	https://icecast-vgtrk.cdnvideo.ru/mayakfm_mp3_192kbps	0
Maximum	https://maximum.hostingradio.ru:443/maximum128.mp3	0
Мелодия	http://icecast.mediaalliance.cdnvideo.ru/mediaalliance	0
Дача	https://listen.vdfm.ru:8000/dacha	0
Юность	http://icecast.vgtrk.cdnvideo.ru/unost	0
Радио Ваня	http://icecast-radiovanya.cdnvideo.ru:8000/radiovanya	0
Маруся FM	http://pub0201.101.ru:8000/stream/pull/aac/64/301	0
Love Radio	https://icecast-newradio.cdnvideo.ru/newradio3	0
Радио Ultra	https://nashe1.hostingradio.ru:443/ultra-256	0
Дискотека 90-х	http://listen1.myradio24.com:9000/5967	0
Радио Ulitka	http://air.radioulitka.ru:8000/ulitka_192	0
Для Двоих	https://icecast-radiofortwo.cdnvideo.ru:443/radiofortwo	0
Волшебный Шансон	http://listen2.myradio24.com:9000/8144	0
Ретро FM 70e	http://retro70.hostingradio.ru:8025/retro70-128.mp3	0
Best FM	https://nashe1.hostingradio.ru:443/best-256	0
Радио Шлягер	https://stream.globalic.com.ua:1165/stream	0
Любимые хиты	https://online.lyubimyehity.ru:8005/stream	0
Дискотека 80-х & 90-х	https://listen4.myradio24.com:443/dance80	0
Pirate Station	https://radiorecord.hostingradio.ru:443/ps96.aacp	0
Маятник Фуко	https://radiorecord.hostingradio.ru:443/mf96.aacp	0
Супердискотека 90-х	https://radiorecord.hostingradio.ru:443/sd9096.aacp	0
Rock	https://radiorecord.hostingradio.ru:443/rock96.aacp	0
60's Dance	https://radiorecord.hostingradio.ru:443/cadillac96.aacp	0
70's Dance	https://radiorecord.hostingradio.ru:443/197096.aacp	0
Record 80-х	https://radiorecord.hostingradio.ru:443/198096.aacp	0
Веснушка FM	https://radiorecord.hostingradio.ru:443/deti96.aacp	0
Медляк FM	https://radiorecord.hostingradio.ru:443/mdl96.aacp	0
Нафталин FM	https://radiorecord.hostingradio.ru:443/naft96.aacp	0
Король и Шут	https://str5.pcradio.ru:443/Korol_i_Shut-hi	0
Коррозия металла	https://str5.pcradio.ru:443/korrozia_metalla-hi	0
Алиса	https://str5.pcradio.ru:443/Alisa-hi	0
Алена Апина	https://str5.pcradio.ru:443/apina_kombinacia-hi	0
Би-2	https://str5.pcradio.ru:443/Bi_2-hi	0
Сплин	https://str5.pcradio.ru:443/Splin-hi	0
Сергей Трофимов	https://str5.pcradio.ru:443/Sergej_trofimov-hi	0
Ласковый май	https://str5.pcradio.ru:443/Laskovyj_maj-hi	0
Мумий Тролль	https://str5.pcradio.ru:443/Mumyi_Trol-hi	0
Ария	https://str5.pcradio.ru:443/Aria-hi	0
А-Студио	https://str5.pcradio.ru:443/a_studio-hi	0
Юрий Антонов	https://str5.pcradio.ru:443/Jurij_Antonov-hi	0
Юрий Шатунов	https://str5.pcradio.ru:443/Jurij_Shatunov-hi	0
Фристайл	https://str5.pcradio.ru:443/Fristajl-hi	0
Дюна	https://str5.pcradio.ru:443/Djuna-hi	0
Enigma	https://str5.pcradio.ru:443/Enigma-hi	0
Boney M.	https://str5.pcradio.ru:443/BoneyM-hi	0
Сектор Газа	https://str5.pcradio.ru:443/Sector_Gaza-hi	0
Виктор Цой (Кино)	https://str5.pcradio.ru:443/gr_Kino-hi	0
Михаил Круг	https://str5.pcradio.ru:443/Michail_Krug-hi	0
Ленинград	https://str5.pcradio.ru:443/Leningrad-hi	0
Queen	https://str5.pcradio.ru:443/Queen-hi	0
Руки Вверх	https://str5.pcradio.ru:443/Ruki_Vverh-hi	0
Наутилус Помпилиус	https://str5.pcradio.ru/Nautilus-hi	0
